userid,foodid,rating,timestamp
1,1,4,964982703
1,3,4,964981247
1,6,4,964982224
1,47,5,964983815
1,50,5,964982931
1,70,3,964982400
1,101,5,964980868
1,110,4,964982176
1,151,5,964984041
1,157,5,964984100
1,163,5,964983650
1,216,5,964981208
1,223,3,964980985
1,231,5,964981179
1,235,4,964980908
2,31,0.5,1306463578
3,21,3,986935199
4,32,2,945173447
4,45,3,986935047
4,47,2,945173425
4,52,3,964622786
4,58,3,964538444
4,106,4,986848784
4,125,5,964622758
4,126,1,986848920
4,162,5,945078571
4,171,3,945078428
4,176,5,964622565
4,190,2,945079259
4,215,5,945079078
4,222,1,945629040
4,232,5,964622684
4,235,2,945173513
4,247,3,986848894
5,1,4,847434962
5,21,4,847435238
5,34,4,847434881
5,36,4,847435292
5,39,3,847434961
5,50,4,847434881
5,58,5,847435238
5,110,4,847434880
5,150,3,847434748
5,153,3,847434802
5,232,4,847435292
5,247,5,847435337
5,253,3,847435292
6,2,4,845553522
6,3,5,845554296
6,4,3,845554349
6,5,5,845553938
6,6,4,845553757
6,7,4,845554264
6,8,3,845555281
6,10,3,845553253
6,11,4,845553489
6,13,3,845555588
6,15,4,845554505
6,16,4,845553819
6,17,4,845553559
6,19,2,845553382
6,21,2,845553382
6,22,5,845553875
6,24,4,845554397
6,25,3,845553695
6,26,4,845555362
6,27,3,845555402
6,31,3,845553819
6,32,4,845553426
6,34,4,845553354
6,36,5,845553726
6,41,4,845554962
6,43,4,845555607
6,45,3,845553907
6,46,4,845554551
6,47,4,845553317
6,50,1,845553381
6,54,4,845555402
6,60,4,845554263
6,61,4,845555454
6,62,4,845553660
6,65,3,845555070
6,66,3,845555151
6,76,4,845555317
6,79,3,845554907
6,86,5,845556131
6,87,3,845555300
6,88,2,845555694
6,89,4,845555124
6,92,4,845555454
6,93,4,845554584
6,95,4,845553559
6,100,3,845555151
6,102,1,845555436
6,104,4,845554349
6,105,3,845553757
6,110,5,845553283
6,112,4,845553994
6,113,3,845556257
6,126,3,845555342
6,135,3,845554987
6,140,3,845555024
6,141,4,845553586
6,145,4,845553966
6,146,4,845555607
6,150,4,845553110
6,151,4,845553586
6,153,3,845553146
6,158,4,845553660
6,159,3,845555006
6,160,5,845553457
6,161,3,845553253
6,163,3,845553907
6,165,3,845553146
6,168,5,845553695
6,170,3,845554263
6,171,3,845555402
6,174,3,845554479
6,177,3,845554931
6,179,1,845555362
6,180,2,845555006
6,181,3,845553938
6,185,3,845553283
6,186,3,845553619
6,189,3,845556241
6,191,2,845554931
6,195,4,845554455
6,196,3,845553586
6,201,3,845556290
6,204,3,845553619
6,205,3,845555477
6,207,4,845554024
6,208,3,845553253
6,209,3,845556106
6,210,4,845556310
6,212,4,845556181
6,216,4,845554099
6,217,3,845555382
6,218,2,845553994
6,219,3,845556131
6,222,4,845554024
6,224,3,845553794
6,225,4,845553381
6,230,5,845553966
6,231,3,845553174
6,234,2,845554176
6,236,4,845553559
6,237,4,845553875
6,239,3,845554987
6,240,3,845555571
6,243,3,845555588
6,248,5,845554263
6,250,4,845555588
6,251,3,845556257
6,252,4,845553619
6,253,3,845553283
6,254,3,845555655
7,1,4.5,1106635946
7,50,4.5,1106635993
7,58,3,1106635520
7,150,4.5,1106635925
7,165,4,1106635987
8,2,4,839463806
8,10,2,839463509
8,11,4,839463806
8,21,4,839463564
8,32,3,839463624
8,34,5,839463546
8,39,3,839463644
8,47,4,839463546
8,50,5,839463644
8,110,3,839463527
8,141,3,839464076
8,150,4,839463422
8,153,2,839463451
8,185,5,839463509
8,186,4,839463856
8,208,3,839463509
8,231,4,839463470
8,235,3,839464076
8,236,3,839463767
8,252,3,839463856
8,253,5,839463509
9,41,3,1044656650
9,187,3,1044657119
9,223,4,1044656650
11,6,5,902154266
11,10,3,902154316
11,36,4,902155135
11,44,2,902154593
11,95,3,902154458
11,110,5,902154266
11,150,5,902154266
11,153,3,902154593
11,165,3,902154567
11,170,4,902154621
11,208,3,902154706
12,39,4,1247264471
12,168,5,1247264411
12,222,5,1247263465
13,47,5,987895819
14,4,3,835441653
14,7,3,835441989
14,19,1,835441168
14,25,4,835441394
14,32,4,835441168
14,39,3,835441186
14,47,5,835441133
14,95,5,835441295
14,105,3,835441371
14,110,5,835441107
14,150,4,835440977
14,153,2,835441012
14,193,3,835441371
14,231,3,835441042
15,1,2.5,1510577970
15,44,1,1299424916
15,47,3.5,1510571970
15,158,1,1299424840
15,172,1,1299424762
16,47,3.5,1377477814
16,50,4,1377476781
16,111,4.5,1377477446
16,204,2,1377476617
17,1,4.5,1305696483
17,44,3.5,1305696245
17,47,4,1307262715
17,50,4.5,1305697013
17,110,4.5,1305696470
17,111,4,1326943208
17,150,3.5,1305696497
18,1,3.5,1455209816
18,2,3,1455617462
18,6,4,1460138360
18,16,4.5,1461311583
18,32,4,1455209840
18,34,2.5,1455617533
18,36,4,1455617478
18,47,4.5,1455050013
18,50,5,1455049343
18,70,3.5,1455735732
18,104,2.5,1455748792
18,110,4.5,1455050170
18,111,4,1458516249
18,145,3.5,1456864434
18,163,4,1455748933
18,165,4,1455209902
18,180,4,1455617692
18,208,3,1455617516
18,223,4,1455617470
18,231,2.5,1455748462
18,235,4.5,1455529905
19,1,4,965705637
19,2,3,965704331
19,3,3,965707636
19,7,2,965706657
19,10,2,965709556
19,12,1,965705347
19,13,3,965709102
19,15,2,965710039
19,19,2,965708339
19,32,4,965703646
19,34,4,965705661
19,44,3,965710019
19,47,3,965710720
19,48,1,965709172
19,54,2,965702660
